City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
64,edinburgh of the seven seas,-37.0676,-12.3116,18.180000000000007,78,100,10.84,SH,1681940245
65,sarupathar,26.1984,93.8094,25.100000000000023,46,59,0.51,IN,1681940245
66,barah,13.7,30.3667,26.75,8,0,3.6,SD,1681940246
67,jamestown,42.097,-79.2353,11.900000000000034,53,0,3.09,US,1681940247
68,port alfred,-33.5906,26.891,25.77000000000004,36,89,4.19,ZA,1681940247
69,thompson,55.7435,-97.8558,1.0900000000000318,47,75,6.17,CA,1681940247
70,arteche,12.2645,125.4048,26.05000000000001,88,26,2.51,PH,1681940247
71,tura,25.5198,90.2201,24.900000000000034,79,44,4.44,IN,1681940249
72,rongelap,11.1635,166.8941,26.120000000000005,84,85,9.41,MH,1681940249
73,west island,-12.1568,96.8225,26.99000000000001,89,100,8.23,CC,1681940249
74,tazovsky,67.4667,78.7,-13.419999999999959,99,96,2.06,RU,1681940250
75,labrador city,52.9463,-66.9114,2.9500000000000455,87,100,1.54,CA,1681940081
76,keflavik,64.0049,-22.5624,8.950000000000045,100,100,8.75,IS,1681940251
77,chengam,12.3,78.8,24.840000000000032,73,7,0.65,IN,1681940251
78,simpang,-1.2667,104.0833,23.210000000000036,97,100,4.0,ID,1681940253
79,whitehorse,60.7161,-135.0538,6.1200000000000045,56,75,2.57,CA,1681940140
80,port mathurin,-19.6833,63.4167,25.730000000000018,78,15,8.75,MU,1681940253
81,labuan bajo,-8.4964,119.8877,24.420000000000016,87,100,2.79,ID,1681940254
82,kruisfontein,-34.0033,24.7314,18.82000000000005,51,100,1.67,ZA,1681940254
83,ushuaia,-54.8,-68.3,5.810000000000002,75,75,11.83,AR,1681940255
84,yigo village,13.5361,144.8886,26.620000000000005,73,20,5.14,GU,1681940255
85,hawaiian paradise park,19.5933,-154.9731,23.350000000000023,99,40,7.2,US,1681940256
86,vila franca do campo,37.7167,-25.4333,17.230000000000018,93,99,8.46,PT,1681940256
87,aykhal,66.0,111.5,-16.039999999999964,100,100,2.35,RU,1681940256
88,hamilton,39.1834,-84.5333,27.350000000000023,31,0,6.69,US,1681940179
89,enewetak,11.3474,162.3373,25.760000000000048,87,100,10.03,MH,1681940257
90,pinheiro machado,-31.5783,-53.3811,9.470000000000027,88,63,5.32,BR,1681940257
91,ribeira grande,38.5167,-28.7,13.220000000000027,71,40,6.17,PT,1681940257
92,talnakh,69.4865,88.3972,-17.819999999999965,96,94,2.92,RU,1681940258
93,haiku-pauwela,20.9219,-156.3051,22.80000000000001,92,100,4.12,US,1681940259
94,jumla,29.2747,82.1838,10.460000000000036,69,97,1.01,NP,1681940260
95,sao miguel do tapuio,-5.5036,-41.3233,23.420000000000016,91,100,0.92,BR,1681940261
96,tanabe,33.7333,135.3667,17.220000000000027,93,100,2.75,JP,1681940262
97,avarua,-21.2078,-159.775,24.03000000000003,100,75,7.2,CK,1681940262
98,onega,63.9061,38.1404,1.0600000000000023,99,100,3.28,RU,1681940262
99,longyearbyen,78.2186,15.6401,-9.089999999999975,67,20,3.09,SJ,1681940262
100,nouadhibou,20.931,-17.0347,19.99000000000001,83,83,7.2,MR,1681940263
101,kill devil hills,36.0307,-75.676,18.010000000000048,71,0,3.6,US,1681940264
102,leava,-14.3,-178.1667,28.49000000000001,72,99,4.44,WF,1681940265
103,korla,41.7597,86.1469,8.03000000000003,23,100,2.89,CN,1681940266
104,mahanje,-9.9333,35.3333,17.629999999999995,97,100,0.24,TZ,1681940269
105,nogliki,51.8333,143.1667,0.03000000000002956,94,97,1.88,RU,1681940270
106,san antonio de pale,-1.4014,5.6325,28.220000000000027,83,99,4.65,GQ,1681940272
107,palembang,-2.9167,104.7458,26.05000000000001,100,100,2.06,ID,1681940273
108,scottburgh,-30.2867,30.7532,19.32000000000005,48,0,3.81,ZA,1681940273
109,langsa,4.4683,97.9683,23.680000000000007,97,94,0.99,ID,1681940274
110,tiksi,71.6872,128.8694,-21.279999999999973,100,100,1.6,RU,1681940276
111,tan-tan,28.438,-11.1032,17.670000000000016,85,78,6.03,MA,1681940277
112,guercif,34.2257,-3.3536,15.450000000000045,71,100,3.29,MA,1681940279
113,mariental,-24.6333,17.9667,22.810000000000002,49,99,3.51,NA,1681940279
114,bilibino,68.0546,166.4372,-2.849999999999966,81,100,1.23,RU,1681940279
115,urangan,-25.3,152.9,21.060000000000002,69,7,7.03,AU,1681940280
116,puerto ayora,-0.7393,-90.3518,27.980000000000018,100,100,3.71,EC,1681940280
117,labasa,-16.4167,179.3833,29.410000000000025,68,76,0.9,FJ,1681940281
118,dakhla,23.6848,-15.958,20.010000000000048,83,1,7.2,EH,1681940100
119,ternate,0.8,127.4,27.129999999999995,79,15,1.25,ID,1681940282
120,vicuna,-30.0319,-70.7081,12.850000000000023,15,0,1.83,CL,1681940282
121,neiafu,-18.65,-173.9833,26.379999999999995,94,75,2.06,TO,1681940283
